Q31	country in western Europe
Q504861	municipality in Bavaria, Germany
Q505071	municipality in Jönköping County, Sweden
Q505196	town in Thuringia, Germany
Q505239	municipality in Jönköping County, Sweden
Q505259	municipality in Jönköping County, Sweden
Q505468	town in Baden-Württemberg, Germany
Q506402	city in Nevada County, California, United States
Q506591	registered political party in Finland
Q506700	seaport town in Germany
Q507147	city in Hokkaidō, Japan
Q507201	municipality in Nordland, Norway
Q507709	municipality in Västerbotten County, Sweden
Q508140	municipality in Södermanland County, Sweden
Q508168	municipality in Halland County, Sweden
Q508273	cycling race
Q509452	municipality in Kalmar County, Sweden
Q509476	municipality in Norrbotten County, Sweden
Q509546	municipality in Kalmar County, Sweden
Q509609	municipality in Jönköping County, Sweden
Q510223	municipality in Blekinge County, Sweden
Q510543	municipality of Germany
Q511365	municipality in Värmland County, Sweden
Q511922	independent city in Virginia, United States
Q512002	municipality in Kalmar County, Sweden
Q513658	private Catholic university in Portland, Oregon, USA
Q513867	2016 first-person shooter video game
Q515235	municipality in Gävleborg County, Sweden
Q515573	prefecture-level city in Shaanxi, China
Q516635	municipality of Germany
Q517107	town in Thuringia, Germany
Q517407	town in Thuringia
Q518169	2009 manga and anime series
Q518356	municipality of Germany
Q518589	1974-1984 television comedy set in the 1950s
Q520251	city in South Carolina, United States
Q520869	Dutch charter airline
Q521018	municipality of Germany
Q521633	municipality of Spain
Q522651	municipality of Germany
Q522992	city in Lower Saxony, Germany
Q524407	seat of Kreis Bergstraße and town in Hesse, Germany
Q524941	municipality of Spain
Q525618	city and municipality in the state of São Paulo, Brazil
Q525659	town in Rheingau-Taunus-Kreis in Hesse, Germany
Q526294	political party
Q527185	diocese of the Catholic Church
Q527341	defunct American airline
Q530197	town in the district of Wittenberg of Saxony-Anhalt, Germany
Q530225	municipality of Germany
Q530517	municipality in the region of Lapland in Finland
Q530794	municipality of Germany
Q530970	legislative body of Virginia, United States
Q531028	castle in Bedburg-Hau, Germany
Q531552	2010 anime television series directed by Seiji Kishi
Q531866	Belarusian Premier League football club
Q532089	football tournament
Q532912	video game
Q533384	political party in French-speaking Belgium
Q536346	Italian television channel
Q536715	17th season of the Bundesliga
Q537201	association football club in Iran
Q537483	municipality (concejo) in Asturias, Spain
Q538928	diocese of the Catholic Church in France
Q539051	ethnic group native to Greece, Cyprus, Albania, Italy, Turkey, Egypt and, to a lesser extent, other countries surrounding the Mediterranean Sea
Q540320	Socialist political party in Mexico
Q541289	association football club
Q541548	French-speaking university based in Neuchâtel, Switzerland
Q541667	former ITV network franchise
Q542829	municipality of Brazil
Q543277	Defunct Swiss airline
Q543804	national academy of Germany
Q544003	city of Ukraine
Q544939	town and historic centre of the London Borough of Enfield, England
Q544969	town in Brandenburg state, Germany
Q545966	American online music distributor
Q547744	American animated television series
Q547751	central institution of the German Confederation
Q547770	mountain
Q548384	city in Twin Falls County, Idaho, United States
Q549037	website hosting questions and answers on a wide range of topics in computer programming
Q549761	county town of Warwickshire, England
Q553658	German developer and publisher of video games
Q558516	town in Rheingau-Taunus-Kreis in Hesse, Germany
Q558584	municipality of Germany
Q558922	public university in Normal, Illinois
Q559392	United States single-payer national social insurance program
Q565155	former royal residence in East Cowes, Isle of Wight, UK
Q565566	radio broadcasting organisation of the German Democratic Republic
Q567336	railway station in Steglitz-Zehlendorf, Germany
Q568361	Picture book/Anime series
Q568554	French university
Q569172	virtual pet site
Q569634	town in Hochtaunuskreis in Hesse, Germany
Q569885	diocese of the Catholic Church
Q571802	diocese of the Catholic Church
Q571865	diocese of the Catholic Church
Q571926	municipality in Bavaria, Germany
Q571959	municipality of Germany
Q571992	municipality of Germany
Q572864	municipality of Germany
Q573106	municipality in Austria
Q573513	railway line in Israel
Q574129	badminton championships
Q574583	2013 film by Francis Lawrence
Q574586	four-year public university located in Murray, Kentucky, United States
Q574659	Japanese Airline
Q575016	railway line in Japan
Q575267	diocese of the Catholic Church
Q575696	American comedy series
Q577261	municipality of Spain
Q577891	city in St. Clair County, Illinois
Q579321	public research university in Nova Scotia, Canada
Q579854	urban district in Stockholm, Sweden
Q581448	diocese of the Catholic Church
Q581478	town in the Czech Republic, in South Moravian Region
Q582182	Greek national theater organization
Q582280	stadium
Q585888	municipality in the region of Pirkanmaa, Finland
Q586758	city in Azerbaijan
Q586787	association football club in Japan
Q586879	railway line
Q587094	town in Brandenburg state, Germany
Q587586	skyscraper in Singapore
Q588500	diocese of the Catholic Church
Q589247	town in Brandenburg state, Germany
Q589515	municipality of Germany
Q591823	town in the Czech Republic, in Hradec Králové Region
Q592241	association football club in Greece
Q592576	department of the United States government
Q593708	association football team in Indonesia
Q594994	football stadium
Q595308	transport company
Q595575	political party in Portugal
Q595937	football stadium in Moscow, Russia
Q598223	diocese of the Catholic Church
Q598603	skyscraper
Q598834	association football club
Q600234	town and civil parish in Cumbria, United Kingdom
Q602827	association football club in Bangkok, Thailand
Q602987	association football club
Q603133	Hungarian association football club
Q605142	city in Dezful County, Khuzestan Province, Iran
Q606478	diocese of the Catholic Church
Q607248	currency of Kingdom of France and its predecessor state of West Francia from 781 to 1794
Q608122	association football club
Q608338	university in Romania
Q609093	New Zealand academy of sciences
Q609836	1961–1974 armed conflicts in Africa between Portugal and independence movements
Q611620	diocese of the Catholic Church
Q611653	association football club in Spain
Q611833	world's largest medical library, operated by the U.S. federal government
Q614203	university in China
Q615337	Highest mountain in the Eastern United States
Q615603	political party in Denmark
Q615640	currency of the Union of Soviet Socialist Republics; briefly used by post-Soviet states after the dissolution of the Soviet Union
Q615838	UK military decoration
Q616360	GUI toolkit or framework
Q617433	university located in Syracuse, New York, United States
Q617624	city in Buzău County, Romania
Q618045	town in Kent, England
Q618236	American news satire organization
Q618960	Indonesian airline
Q619089	Indonesian airline company
Q619980	international airport serving Bergen, Norway
Q621615	Scientific journal
Q622030	municipality in Huelva, Spain
Q622895	skyscraper in Chicago, Illinois
Q623323	spa town in Worcestershire, England
Q623740	Spanish political coalition
Q624090	university
Q624571	university
Q625474	Japanese manga series
Q626440	Japanese idol group (1999–2020)
Q626721	municipality of the Philippines and capital of the province of Aklan
Q627827	daily newspaper of New York City since 1919
Q628118	town in Rheingau-Taunus-Kreis in Hesse, Germany
Q629088	city in California
Q630334	town in Thuringia, Germany
Q630566	large area in the southeastern portion of the U.S. state of New York
Q630591	airline based in China
Q631695	association football club in Beijing, China
Q631915	city and the county seat of Marin County, California, United States of America
Q632552	legislative branch of France
Q635198	association football league
Q635826	airport in Sharjah, UAE
Q637298	town in Devon, England
Q637427	association football club
Q638312	city in Ibaraki Prefecture, Japan
Q639421	city in the Union Territory of Puducherry, India
Q639525	association football club in Germany
Q639704	parliament of Bulgaria
Q640447	museum of the history of Paris
Q640467	Gentoo-based Linux distribution
Q640652	public research university in Norman, Oklahoma, United States
Q640680	town in Dnipropetrovsk Oblast of central Ukraine
Q641274	market town and civil parish in the Hambleton district of North Yorkshire, England
Q641422	airline
Q641669	municipality in Spain
Q641992	city in Aomori Prefecture, Japan
Q642018	city in Miyagi Prefecture, Japan
Q642623	rapid transit line run by the Chicago Transit Authority
Q642696	city in the region of Central Finland
Q642932	1858-1947 land warfare branch of British India's military, distinct from the British Army in India
Q643338	Chilean association football club
Q643434	Bulgarian association football club from the capital city of Sofia
Q643929	city in Yamaguchi Prefecture, Japan
Q643953	city in southern California, U.S.
Q644464	former medieval castle in Oslo, Norway
Q644636	island in the Eastern Basin of the Mediterranean Sea
Q645229	association football club
Q645663	Italian public research university located in Pisa
Q646346	diocese of the Catholic Church
Q646394	1919-1945 Imperial Japanese Army formation
Q647893	association football club
Q648121	former Berlin magnetic levitation train
Q648211	political party
Q648489	City in Serbia
Q648924	Salvadoran political party
Q649299	university
Q650066	legislature of the Republic of Maldives
Q652035	town in Dumfries and Galloway, Scotland, UK
Q653664	battle of the American Revolutionary War
Q653833	political party
Q654953	Flag carrier airline of Afghanistan
